sample_ID,culture_ID,Habitat,Location,Continent,Lat,Long,Altitude (m),Pylum,Class,Order,Family,Genus,Species
C1,Aetokthonos_hydrillicola_B3-Florida,Aquatic_epiphyte,"South Carolina,
USA",North America,33.7434,-82.2188,102,Cyanobacteria,unclassified,Nostocales,Hapalosiphonaceae,Aetokthonos,Aetokthonos hydrillicola
C2,Aphanocapsa_lilacina_HA4352-LM1,Cave_rock_wall,"Hawaii,
USA",Pacific Islands,22.2199,-159.566,21,Cyanobacteria,Gloeobacteria,Gloeobacterales,Gloeobacteraceae,Gloeobacter,"""Aphanocapsa lilacina"""
C3,Aphanocapsa_sp._GSE-SYN-MK-11-07L,Desert_wet_wall,"Utah,
USA",North America,37.8291,-111.42,1755,Cyanobacteria,unclassified,Synechococcales,unclassified,unclassified,"""Aphanocapsa"" sp."
C4,Aphanothece_saxicola_GSE-SYN-MK-01-06B,Desert_wet_wall,"Utah,
USA",North America,37.6093,-111.8978,2043,Cyanobacteria,unclassified,Synechococcales,Synechococcaceae,Cyanobium,"""Aphanothece saxicola"""
C5,Aphanothece_sp._CMT-3BRIN-NPC111,Desert_soil,"California,
USA",North America,35.5039,-115.6922,1084,Cyanobacteria,unclassified,Oscillatoriales,unclassified,unclassified,"""Aphanothece"" sp."
C6,Brasilonema_angustatum_HA4187-MV1,Tropical_soil,"Hawaii,
USA",Pacific Islands,21.311,-157.823,229,Cyanobacteria,unclassified,Nostocales,Scytonemataceae,Brasilonema,Brasilonema angustatum
C7,Brasilonema_octagenarum_HA4186-MV1,On_wood_tropica,"Hawaii,
USA",Pacific Islands,21.311,-157.823,229,Cyanobacteria,unclassified,Nostocales,Scytonemataceae,Brasilonema,Brasilonema octagenarum
C8,Calothrix_sp._FI2-JRJ7,Desert_soil,"California,
USA",North America,35.3619,-116.3226,654,Cyanobacteria,unclassified,Nostocales,Calotrichaceae,Calothrix,Calothrix desertica
C9,Chroococcus_sp._CMT-3BRIN-NPC107,Desert_soil,"California,
USA",North America,35.5039,-115.6922,1084,Cyanobacteria,unclassified,Chroococcidiopsidales,Aliterellaceae,Aliterella,"""Chroococcus"" sp."
C10,Cyanomargarita_calcarea_GSE-NOS-MK-12-04C,Desert_wet_wall,"Utah,
USA",North America,37.48,-112.09,1873,Cyanobacteria,unclassified,Nostocales,Cyanomargaritaceae,Cyanomargarita,Cyanomargarita calcarea
C11,Cyanosarcina_radialis_HA8281-LM2,Cave_rock_wall,"Hawaii,
USA",Pacific Islands,21.8883,-159.4188,11,Cyanobacteria,unclassified,unclassified,unclassified,unclassified,Cyanosarcina radialis
C12,Desmonostoc_geniculatum_HA4340-LM1,Cave_rock_wall,"Hawaii,
USA",Pacific Islands,22.2199,-159.566,21,Cyanobacteria,unclassified,Nostocales,Nostocaceae,Desmonostoc,Desmonostoc geniculatum
C13,Desmonostoc_vinosum_HA7617-LM4,Cave_rock_wall,"Hawaii,
USA",Pacific Islands,22.2202,-159.5794,106,Cyanobacteria,unclassified,Nostocales,Nostocaceae,Desmonostoc,Desmonostoc vinosum
C14,Drouetiella_hepatica_UHER_2000_2452,Rock_surface,"Kosice,
Slovakia",Europe,48.9513,20.3835,701,Cyanobacteria,unclassified,Synechococcales,Oculatellaceae.,Drouetiella,Drouetiella hepatica
C15,Gloeocapsa_sp._UFS-A4-WI-NPMV-4B0,Desert_soil,"Utah,
USA",North America,40.23,-112.4652,1687,Cyanobacteria,unclassified,Chroococcidiopsidales,unclassified,Gloeocapsa,Gloeocapsa sp.
C16,Goleter_apudmare_HA4340-LM2,Cave_rock_wall,"Hawaii,
USA",Pacific Islands,22.2199,-159.566,21,Cyanobacteria,unclassified,Nostocales,Nostocaceae,Goleter,Goleter apudmare
C17,Hassallia_sp._WJT32-NPBG1,Desert_soil,"California,
USA",North America,34.0997,-115.455,623,Cyanobacteria,unclassified,Nostocales,Tolypothrichaceae,"""Hassallia""",unclassified
C18,Hormoscilla_sp._CMT-3BRIN-NPC48,Desert_soil,"California,
USA",North America,35.5039,-115.6922,1084,Cyanobacteria,unclassified,Oscillatoriales,Gomontiellaceae,Hormoscilla,unclassified
C19,Iphinoe_sp._HA4291-MV1,Tropical_soil,"Hawaii,
USA",Pacific Islands,21.3515,-157.769,136,Cyanobacteria,unclassified,Nostocales,Scytonemataceae,Iphinoe,unclassified
C20,Kaiparowitsia_implicata_GSE-PSE-MK54-09C,Desert_wet_wall,"Utah,
USA",North America,37.543,-111.6405,1880,Cyanobacteria,unclassified,Synechococcales,Oculatellaceae.,Kaiparowitsia,Kaiparowitsia implicata
C21,Kastovskya_adunca_ATA6-11-RM4,Desert_soil,"Atacama,
Chile",South America,-26.1119,-70.6479,340,Cyanobacteria,unclassified,Oscillatoriales,Coleofasciculaceae,Kastovskya,Kastovskya adunca
C22,Komarekiella_atlantica_HA4396-MV6,Tropical_vernal_pool,"Hawaii,
USA",Pacific Islands,21.9156,-159.51,117,Cyanobacteria,unclassified,Nostocales,Nostocaceae,Komarekiella,Komarekiella atlantica
C23,Lyngbya_sp._HA4199-MV5,Tropical_soil,"Hawaii,
USA",Pacific Islands,21.542,-157.884,28,Cyanobacteria,unclassified,Synechococcales,Leptolyngbyaceae,unclassified,"""Lyngbya"" sp."
C24,Microcoleus_vaginatus_WJT46-NPBG5,Desert_soil,"California,
USA",North America,33.8188,-115.7638,794,Cyanobacteria,unclassified,Oscillatoriales,Microcoleaceae,Microcoleus,Microcoleus vaginatus
C25,Mojavia_pulchra_JT2-VF2,Desert_soil,"California,
USA",North America,34.1098,-115.4803,692,Cyanobacteria,unclassified,Nostocales,Nostocaceae,Mojavia,Mojavia pulchra
C26,Myxacorys_californica_WJT36-NPBG1,Desert_soil,"California,
USA",North America,34.0413,-116.145,1332,Cyanobacteria,unclassified,Synechococcales,Leptolyngbyaceae,Myxacorys,Myxacorys californica
C27,Myxacorys_chilensis_ATA2-1-KO14,Desert_soil,"Coquimbo,
Chile",South America,-29.3164,-71.2486,222,Cyanobacteria,unclassified,Synechococcales,Leptolyngbyaceae,Myxacorys,Myxacorys chilensis
C28,Nodosilinea_sp._WJT8-NPBG4,Desert_soil,"California,
USA",North America,33.893,-115.798,564,Cyanobacteria,unclassified,Synechococcales,Prochlorotrichaceae,Nodosilinea,unclassified
C29,Nostoc_desertorum_CM1-VF14,Desert_soil,"California,
USA",North America,35.635,-115.5124,1048,Cyanobacteria,unclassified,Nostocales,Nostocaceae,Nostoc,Nostoc desertorum
C30,Nostoc_indistinguendum_CM1-VF10,Desert_soil,"California,
USA",North America,35.635,-115.5124,1048,Cyanobacteria,unclassified,Nostocales,Nostocaceae,Nostoc,Nostoc indistinguendum
C31,Oscillatoria_princeps_RMCB-10,Surface_water,"Lower Austria,
Austria",Europe,47.8529,15.0398,613,Cyanobacteria,unclassified,Oscillatoriales,Oscillatoriaceae,Oscillatoria,Oscillatoria princeps
C32,Oscillatoria_tanganyikae_FI6-MK23,Desert_soil,"California,
USA",North America,35.1642,-116.8729,839,Cyanobacteria,unclassified,Synechococcales,Leptolyngbyaceae,unclassified,"""Oscillatoria tanganyikae"""
C33,Pegethrix_bostrychoides_GSE-TBD4-15B,Desert_wet_wall,"Utah,
USA",North America,37.3202,-111.5307,1541,Cyanobacteria,unclassified,Synechococcales,Oculatellaceae.,Pegethrix,Pegethrix bostrychoides
C34,Pelatocladus_maniniholoensis_HA4357-MV3,Cave_rock_wall,"Hawaii,
USA",Pacific Islands,22.2199,-159.566,21,Cyanobacteria,unclassified,Nostocales,Hapalosiphonaceae,Pelatocladus,Pelatocladus maniniholoensis
C35,Plectolyngbya_sp._WJT66-NPBG17,Desert_soil,"California,
USA",North America,34.0655,-116.1702,1273,Cyanobacteria,unclassified,Synechococcales,Leptolyngbyaceae,unclassified,Plectolyngbya sp.
C36,Pleurocapsa_minor_GSE-CHR-MK-17-07R,Desert_wet_wall,"Utah,
USA",North America,37.8291,-111.42,1755,Cyanobacteria,unclassified,Pleurocapsales,Pleurocapsaceae,Pleurocapsa,Pleurocapsa minor
C37,Pleurocapsa_minor_HA4230-MV1,Tropical_rock_wall,"Hawaii,
USA",Pacific Islands,21.367,-157.792,389,Cyanobacteria,unclassified,Pleurocapsales,Pleurocapsaceae,Pleurocapsa,Pleurocapsa minor
C38,Scytolyngbya_sp._HA4215-MV1,Freshwater_stream,"Hawaii,
USA",Pacific Islands,21.6028,-157.956,610,Cyanobacteria,unclassified,Synechococcales,Leptolyngbyaceae,Scytolyngbya,Scytolyngbya sp.
C39,Scytonema_hyalinum_WJT4-NPBG1,Desert_soil,"California,
USA",North America,33.9461,-115.9036,619,Cyanobacteria,unclassified,Nostocales,Scytonemataceae,Scytonema,Scytonema hyalinum
C40,Scytonematopsis_contorta_HA4267-MV1,Tropical_vernal_pool,"Hawaii,
USA",Pacific Islands,21.323,-157.772,339,Cyanobacteria,unclassified,Nostocales,unclassified,Scytonematopsis,Scytonematopsis contorta
C41,Spirirestis_raphaelensis_WJT71-NPBG6,Desert_soil,"California,
USA",North America,33.9755,-115.3947,500,Cyanobacteria,unclassified,Nostocales,Tolypothrichaceae,Spirirestis,Spirirestis raphaelensis
C42,Stenomitos_rutilans_HA7619-LM2,Cave_rock_wall,"Hawaii,
USA",Pacific Islands,22.2202,-159.5794,106,Cyanobacteria,unclassified,Synechococcales,Leptolyngbyaceae,Stenomitos,Stenomitos rutilans
C43,Symplocastrum_torsivum_CPER-KK1,Grassland_soil,"Colorado,
USA",North America,40.822,-104.7128,1622,Cyanobacteria,unclassified,Oscillatoriales,Coleofasciculaceae,Symplocastrum,Symplocastrum torsivum
C44,Tildeniella_nuda_ZEHNDER_1965_U140,Temperate_wet_wall,"Zurich,
Switzerland",Europe,47.3732,8.5552,451,Cyanobacteria,unclassified,Synechococcales,unclassified,Tildeniella,Tildeniella nuda
C45,Tildeniella_torsiva_UHER_1998_13D,Temperate_wet_wall,"Kosice,
Slovakia",Europe,48.955,20.4147,565,Cyanobacteria,unclassified,Synechococcales,unclassified,Tildeniella,Tildeniella torsiva
C46,Timaviella_obliquedivisa_GSE-PSE-MK23-08B,Desert_wet_wall,"Utah,
USA",North America,37.7168,-111.4712,1757,Cyanobacteria,unclassified,Synechococcales,Oculatellaceae.,Timaviella,Timaviella obliquedivisa
C47,Tolypothrix_brevis_GSE-NOS-MK-07-07A,Desert_wet_wall,"Utah,
USA",North America,37.8291,-111.42,1684,Cyanobacteria,unclassified,Nostocales,Tolypothrichaceae,Tolypothrix,Tolypothrix brevis
C48,Tolypothrix_carrinoi_HA7290-LM1,Cave_rock_wall,"Hawaii,
USA",Pacific Islands,21.8887,-159.419,21,Cyanobacteria,unclassified,Nostocales,Tolypothrichaceae,Tolypothrix,Tolypothrix carrinoi
C49,Trichocoleus_desertorum_ATA4-8-CV12,Desert_soil,"Atacama,
Chile",South America,-27.2216,-70.3454,738,Cyanobacteria,unclassified,Synechococcales,Trichocoleusaceae,Trichocoleus,Trichocoleus desertorum
C50,Trichormus_sp._ATA11-4-KO1,Desert_soil,"Tarapaca,
Chile",South America,-21.0129,-69.3515,1167,Cyanobacteria,unclassified,Nostocales,Aphanizomenonaceae,"""Trichormus""",unclassified
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
