,Host,Phylum,Class,Order,Family,Genus,Host_Order,Substrate
1,Desmonostoc_vinosum,p__Planctomycetota,c__Phycisphaerae,o__Phycisphaerales,f__SM1A02,g__JACMLW01,Nostocales,subaerial
2,Mojavia_pulchra,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Rhizobacter,Nostocales,soil
3,Roholtiella_mojaviensis,p__Acidobacteriota,c__Blastocatellia,o__Pyrinomonadales,f__Pyrinomonadaceae,g__SXVE01,Nostocales,soil
4,Brasilonema_angustatum,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Tabrizicola,Nostocales,soil
5,Oscillatoria_princeps,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__Bradyrhizobium,Oscillatoriales,fresh_water
6,Brasilonema_angustatum,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Brevundimonas,Nostocales,soil
7,Brasilonema_octagenarum,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Mesorhizobium,Nostocales,subaerial
8,Iphinoe_sp.,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__Methylobacterium,Nostocales,soil
9,Aetokthonos_hydrillicola,p__Proteobacteria,c__Alphaproteobacteria,o__Acetobacterales,f__Acetobacteraceae,g__Belnapia,Nostocales,fresh_water
10,Scytonematopsis_contorta,p__Proteobacteria,c__Alphaproteobacteria,o__Azospirillales,f__Azospirillaceae,g__Skermanella,Nostocales,hydroterrestrial
11,Pegethrix_bostrychoides,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__Bosea,Oculatellales,subaerial
12,Goleter_apundmare,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Brevundimonas,Nostocales,subaerial
13,Cyanomargarita_calcarea,p__Acidobacteriota,c__Blastocatellia,o__Pyrinomonadales,f__Pyrinomonadaceae,g__SXVE01,Nostocales,subaerial
14,Hassallia_sp.,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__UBA5005,Nostocales,soil
15,Rexia_erecta,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Flavisolibacter,Nostocales,subaerial
16,Tolypothrix_brevis,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Pseudoxanthomonas,Nostocales,subaerial
17,Tolypothrix_carrinoi,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Ramlibacter,Nostocales,subaerial
18,Timaviella_radians,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Hyphomicrobium,Oculatellales,subaerial
19,Trichormus_sp.,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__172606-1,g__ES-bin-26,Nostocales,soil
20,Desmonostoc_geniculatum,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Hymenobacteraceae,g__Hymenobacter,Nostocales,subaerial
21,Nostoc_desertoum,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__Microvirga,Nostocales,soil
22,Nostoc_indistinguendum,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Hymenobacteraceae,g__Solirubrum,Nostocales,soil
23,Pelatocladus_maniniholoens,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Pseudoxanthomonas,Nostocales,subaerial
24,Hassallia_sp.,p__Planctomycetota,c__Planctomycetes,o__Gemmatales,f__Gemmataceae,g__PALSA-1347,Nostocales,soil